step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
52,10716,52,1.0533090674062386,0.0,0.4153846153846154
53,10853,53,0.9818547367894002,0.0,0.543859649122807
54,11102,54,1.177090747191673,0.0,0.5045045045045045
55,11263,55,0.649972340339813,0.0,0.35294117647058826
56,11504,56,1.019961508509846,0.0,0.4574468085106383
57,11737,57,1.273082712334824,0.0,0.40594059405940597
58,11970,58,1.5005286761328824,0.0,0.3157894736842105
59,12179,59,1.1727141170034212,0.0,0.49
60,12348,60,1.104021487367586,0.0,0.5294117647058824
61,12469,61,1.0521269585228292,0.0,0.48936170212765956
62,12654,62,1.1879285251192928,0.0,0.37735849056603776
63,12895,63,0.5087932280072225,0.0,0.38095238095238093
64,13112,64,1.019646208837167,0.0,0.3548387096774194
65,13313,65,0.9102853495782941,0.0,0.4507042253521127
66,13466,66,1.3924180931842227,0.0,0.463768115942029
67,13659,67,1.3818980392409563,0.0,0.4230769230769231
68,13892,68,0.9905508339709335,0.0,0.43617021276595747
69,14077,69,1.346831500506226,0.0,0.4897959183673469
70,14198,70,0.7678893435285427,0.0,0.375
71,14327,71,1.7871235517784954,0.0,0.328125
72,14552,72,0.7461356738234203,0.0,0.47368421052631576
73,14737,73,1.204091690187393,0.0,0.44285714285714284
74,14954,74,0.7155942461050707,0.0,0.4852941176470588
75,15115,75,0.6065744793914929,0.0,0.46808510638297873
76,15348,76,0.7997691537067847,0.0,0.5543478260869565
77,15549,77,1.2424975098560476,0.0,0.40789473684210525
78,15734,78,1.2650626118941852,0.0,0.4157303370786517
79,15847,79,1.1156112230572033,0.0,0.46808510638297873
80,16072,80,1.2682660979787137,0.0,0.29069767441860467
81,16233,81,0.5184150718757683,0.0,0.47058823529411764
82,16370,82,0.9697586851483827,0.0,0.46
83,16555,83,0.8909941188136429,0.0,0.47692307692307695
84,16852,84,0.8728562541745253,0.0,0.5619834710743802
85,17053,85,0.6873135288145045,0.0,0.5238095238095238
86,17230,86,1.3683411146018294,0.0,0.5520833333333334
87,17527,87,0.5038299527325767,0.0,0.654320987654321
88,17712,88,1.0871554533711874,0.0,0.49056603773584906
89,17929,89,0.5682048003820145,0.0,0.5
90,18178,90,0.4702323875211803,0.0,0.6451612903225806
91,18379,91,0.9864583067845786,0.0,0.5238095238095238
92,18580,92,0.7758115622742043,0.0,0.5492957746478874
93,18773,93,0.8956557443499666,0.0,0.5405405405405406
94,19030,94,0.6054705610286534,0.0,0.35294117647058826
95,19255,95,0.6385323832774833,0.0,0.5974025974025974
96,19480,96,1.076957399027472,0.0,0.3953488372093023
97,19681,97,0.5031263385429717,0.0,0.5625
98,19914,98,1.3371823418276183,0.0,0.3684210526315789
99,20075,99,0.6977187291754308,0.0,0.5689655172413793
100,20380,100,0.5539754435818156,0.0,0.4305555555555556
101,20509,101,1.507166257905019,0.0,0.375
102,20726,102,0.8667111127806291,0.0,0.43548387096774194
103,20911,103,1.1160710400376126,0.0,0.48314606741573035
104,21072,104,0.9217655630420339,0.0,0.4230769230769231
105,21265,105,1.3899862228835504,0.0,0.3888888888888889
106,21482,106,0.9431217291467356,0.0,0.47297297297297297
107,21651,107,1.083512531066032,0.0,0.5060240963855421
108,21836,108,1.2362324016512645,0.0,0.3950617283950617
109,22069,109,1.0998725128079374,0.0,0.5247524752475248
110,22182,110,0.8774622194256101,0.0,0.5319148936170213
111,22415,111,0.674340862420775,0.0,0.6413043478260869
112,22656,112,0.8894672380204187,0.0,0.475
113,22793,113,0.7544746860854417,0.0,0.631578947368421
114,22978,114,1.0120462852941083,0.0,0.4857142857142857
115,23139,115,0.8799621376635334,0.0,0.55
116,23308,116,0.8795308393162156,0.0,0.6323529411764706
117,23533,117,0.8914570559146289,0.0,0.4166666666666667
118,23766,118,0.8881211752456536,0.0,0.4574468085106383
119,23975,119,0.5990983107872997,0.0,0.5873015873015873
120,24168,120,0.6577599494241925,0.0,0.5094339622641509
121,24337,121,0.6892972822203003,0.0,0.5319148936170213
122,24482,122,1.5195404958226089,0.0,0.35294117647058826
123,24699,123,0.6767811262195903,0.0,0.45161290322580644
124,25004,124,1.07498575567967,0.0,0.4892086330935252
125,25245,125,0.910151594411423,0.0,0.4230769230769231
126,25470,126,0.5912780259498062,0.0,0.6052631578947368
127,25631,127,0.9537234230873146,0.0,0.4426229508196721
128,25872,128,0.40435009330773997,0.0,0.5
129,26049,129,0.9576878168171243,0.0,0.3333333333333333
130,26218,130,0.8050687961832296,0.0,0.44
131,26419,131,0.7888231649562775,0.0,0.5753424657534246
132,26588,132,1.1550123071911402,0.0,0.5232558139534884
133,26757,133,1.140730099113633,0.0,0.48484848484848486
134,26910,134,1.1848078424746793,0.0,0.4927536231884058
135,27071,135,1.0425226225970838,0.0,0.5342465753424658
136,27264,136,1.1284766526545598,0.0,0.47435897435897434
137,27385,137,0.6346989309731871,0.0,0.46875
138,27546,138,1.1088697426268845,0.0,0.5
139,27747,139,1.037552740955539,0.0,0.5056179775280899
140,27956,140,0.9078649510801244,0.0,0.5777777777777777
141,28205,141,0.9655882013817514,0.0,0.5585585585585585
142,28382,142,0.7141487761510706,0.0,0.5942028985507246
143,28583,143,1.0177159751038962,0.0,0.5301204819277109
144,28768,144,1.1119655816660026,0.0,0.5306122448979592
145,28889,145,0.881148436050862,0.0,0.5106382978723404
146,29130,146,0.8513498119336543,0.0,0.5319148936170213
147,29451,147,0.9511335215473455,0.0,0.5681818181818182
148,29604,148,1.0333695757142147,0.0,0.5161290322580645
149,29845,149,0.9524476215584435,0.0,0.49473684210526314
150,30006,150,0.47793878511941873,0.0,0.5957446808510638
151,30215,151,1.02531743775892,0.0,0.51
152,30432,152,0.5966115574231824,0.0,0.484375
153,30609,153,0.7692372450950469,0.0,0.41509433962264153
154,30858,154,0.5762283537437232,0.0,0.5294117647058824
155,31107,155,1.473245729431693,0.0,0.47580645161290325
156,31340,156,0.5878312143697622,0.0,0.6666666666666666
157,31541,157,1.047441817427708,0.0,0.47368421052631576
158,31758,158,0.7920964620266059,0.0,0.3787878787878788
159,31959,159,0.54114413944368,0.0,0.5106382978723404
160,32144,160,1.0182767304862343,0.0,0.4805194805194805
161,32329,161,0.9551047085128568,0.0,0.550561797752809
162,32498,162,0.9203156557840148,0.0,0.627906976744186
163,32739,163,0.7994110973619876,0.0,0.5684210526315789
164,32964,164,0.9131765297099523,0.0,0.4418604651162791
165,33221,165,0.5053293317731278,0.0,0.43137254901960786
166,33406,166,1.042025381405422,0.0,0.4074074074074074
167,33599,167,0.6950864696653722,0.0,0.6216216216216216
168,33784,168,0.8871901905263629,0.0,0.5584415584415584
169,33985,169,0.5928789391724976,0.0,0.6164383561643836
170,34170,170,0.7055160820884369,0.0,0.6461538461538462
171,34339,171,0.929318896156602,0.0,0.5454545454545454
172,34572,172,0.4789049164820031,0.0,0.7282608695652174
173,34733,173,0.3618725663925398,0.0,0.6176470588235294
174,34902,174,0.8356533785651499,0.0,0.6385542168674698
175,35143,175,0.2817694776531134,0.0,0.6428571428571429
176,35392,176,1.263219192839889,0.0,0.5
177,35641,177,0.7722277287646026,0.0,0.5855855855855856
178,35802,178,0.3341864267570273,0.0,0.6595744680851063
179,36003,179,0.3577646191253873,0.0,0.7083333333333334
180,36220,180,0.4474852980822052,0.0,0.578125
181,36469,181,0.3101753825930791,0.0,0.7741935483870968
182,36654,182,0.9349660940110088,0.0,0.5094339622641509
183,36815,183,0.6900847613532206,0.0,0.5901639344262295
184,36952,184,0.49167171517883296,0.0,0.7368421052631579
185,37153,185,0.6473126301706011,0.0,0.6056338028169014
186,37362,186,0.6818841321090202,0.0,0.6555555555555556
187,37531,187,0.42962358105631815,0.0,0.5957446808510638
188,37708,188,0.5070558242885917,0.0,0.6811594202898551
189,38029,189,0.7988574727191777,0.0,0.6060606060606061
190,38334,190,0.4639213518537979,0.0,0.4722222222222222
191,38535,191,0.793873861556124,0.0,0.6144578313253012
192,38680,192,1.2855182119422026,0.0,0.5
193,38833,193,0.9047388048153837,0.0,0.6086956521739131
194,39130,194,0.3392161047799993,0.0,0.7160493827160493
195,39259,195,1.2521511243752366,0.0,0.46875
196,39420,196,0.8225082963176474,0.0,0.5675675675675675
197,39653,197,0.43816125485885454,0.0,0.7435897435897436
198,39822,198,0.6244058677098856,0.0,0.6617647058823529
199,40063,199,0.6935780268283627,0.0,0.5875
200,40264,200,0.7923510956684652,0.0,0.5476190476190477
201,40433,201,0.5891155926991,0.0,0.5
202,40554,202,0.6446342101361019,0.0,0.6382978723404256
203,40763,203,0.3521582717186442,0.0,0.746031746031746
204,40924,204,0.7679538716506832,0.0,0.6164383561643836
205,41061,205,0.7232062895196598,0.0,0.56
206,41278,206,0.39360072965254056,0.0,0.6617647058823529
207,41511,207,1.1323379541646104,0.0,0.47368421052631576
208,41712,208,0.8524319432631708,0.0,0.5
209,42009,209,0.6775969623093728,0.0,0.6115702479338843
210,42250,210,0.7327288880388058,0.0,0.5128205128205128
211,42427,211,0.5656171620298551,0.0,0.5660377358490566
212,42636,212,0.7757466080480461,0.0,0.58
213,42885,213,0.4128707423831772,0.0,0.6617647058823529
214,42998,214,0.645380850382636,0.0,0.6595744680851063
215,43191,215,0.8865283424342048,0.0,0.5384615384615384
216,43368,216,1.0940613746557624,0.0,0.625
217,43545,217,0.7940433792042066,0.0,0.45614035087719296
218,43746,218,0.7704027485906597,0.0,0.5955056179775281
219,43907,219,0.4805402551149378,0.0,0.6724137931034483
220,44124,220,0.5048563520731093,0.0,0.5806451612903226
221,44357,221,0.727901422578493,0.0,0.5531914893617021
222,44558,222,0.5345998788052064,0.0,0.5873015873015873
223,44743,223,0.8119171399917041,0.0,0.5714285714285714
224,44944,224,0.4146478960215958,0.0,0.5957446808510638
225,45161,225,0.628755259585034,0.0,0.5161290322580645
226,45378,226,0.7753293128797526,0.0,0.5405405405405406
227,45603,227,0.4387269777822348,0.0,0.6883116883116883
228,45828,228,0.6976347533669546,0.0,0.48333333333333334
229,46061,229,0.8870223635346495,0.0,0.5742574257425742
230,46366,230,0.853382920984366,0.0,0.5179856115107914
231,46583,231,0.6288332054641098,0.0,0.5
232,46768,232,0.8561742222082149,0.0,0.5816326530612245
233,46929,233,0.6123010498748682,0.0,0.7
234,47170,234,0.6661674229538294,0.0,0.5957446808510638
235,47363,235,0.4958341956787785,0.0,0.5660377358490566
236,47484,236,0.44817320400189303,0.0,0.6875
237,47677,237,1.1054080868709237,0.0,0.4777777777777778
238,47902,238,0.4000319729853141,0.0,0.6973684210526315
239,48055,239,0.7869026391273397,0.0,0.5967741935483871
240,48216,240,0.6358124843210036,0.0,0.6153846153846154
241,48537,241,0.6657637974082393,0.0,0.6742424242424242
242,48698,242,0.23705582624446653,0.0,0.8085106382978723
243,48931,243,0.8208978249344915,0.0,0.6237623762376238
244,49044,244,0.5358676032340592,0.0,0.723404255319149
245,49349,245,0.34850792079179277,0.0,0.5555555555555556
246,49574,246,0.6215796103535389,0.0,0.6
247,49831,247,0.3741656276453753,0.0,0.5686274509803921
248,50128,248,0.2528552933522279,0.0,0.8024691358024691
249,50329,249,0.4134821682147427,0.0,0.726027397260274
250,50482,250,0.7002309936211009,0.0,0.6612903225806451
251,50715,251,0.6406424405360002,0.0,0.5638297872340425
252,50892,252,0.9238515632097315,0.0,0.65625
253,51093,253,0.6891238154689876,0.0,0.5714285714285714
254,51270,254,0.6705817279578754,0.0,0.5263157894736842
255,51471,255,0.6081105713822672,0.0,0.6867469879518072
256,51656,256,0.8124858599334144,0.0,0.5185185185185185
257,51817,257,0.36793533642495374,0.0,0.7758620689655172
258,52050,258,0.3037730532391092,0.0,0.8205128205128205
259,52243,259,1.0158521822074453,0.0,0.5333333333333333
260,52436,260,0.5183607505571763,0.0,0.6486486486486487
261,52653,261,0.2820192434531162,0.0,0.8382352941176471
262,52822,262,0.741725884768552,0.0,0.6060606060606061
263,53127,263,0.7565266260833674,0.0,0.5611510791366906
264,53344,264,0.6763373531651504,0.0,0.6216216216216216
265,53545,265,0.24149108323929394,0.0,0.7916666666666666
266,53786,266,0.5901179154323806,0.0,0.6170212765957447
267,53947,267,0.47290061045680987,0.0,0.6557377049180327
268,54124,268,0.4341197245015563,0.0,0.660377358490566
269,54349,269,0.7672337972149609,0.0,0.5232558139534884
270,54550,270,0.33995418086047546,0.0,0.6595744680851063
271,54751,271,0.6163373474065579,0.0,0.7078651685393258
272,54920,272,0.42236000672174406,0.0,0.64
273,55137,273,0.5253843045560047,0.0,0.5645161290322581
274,55386,274,1.0883729883800624,0.0,0.5645161290322581
275,55635,275,0.305734685241248,0.0,0.8088235294117647
276,55796,276,0.5990911225017808,0.0,0.6438356164383562
277,55957,277,0.2151063247416501,0.0,0.8235294117647058
278,56158,278,0.6754070794791908,0.0,0.631578947368421
279,56367,279,0.5146769619780791,0.0,0.7
280,56616,280,0.5787178928139068,0.0,0.7117117117117117
281,56777,281,0.6482105800757831,0.0,0.6351351351351351
282,56946,282,0.4434444197113035,0.0,0.75
283,57187,283,0.5806971945186081,0.0,0.6625
284,57324,284,0.3439445893575847,0.0,0.8421052631578947
285,57549,285,0.36368549899941915,0.0,0.7012987012987013
286,57734,286,0.652451949552254,0.0,0.6363636363636364
287,57975,287,0.1904173121248068,0.0,0.7142857142857143
288,58160,288,0.6787624945626736,0.0,0.6714285714285714
289,58345,289,0.5214134783615713,0.0,0.6923076923076923
290,58530,290,0.7526691553027701,0.0,0.6326530612244898
291,58771,291,0.6174321655643727,0.0,0.5897435897435898
292,59004,292,0.977184154376119,0.0,0.5157894736842106
293,59213,293,0.22716154679342462,0.0,0.873015873015873
294,59334,294,0.3587547543469409,0.0,0.6875
295,59535,295,0.4682153055494156,0.0,0.7183098591549296
296,59704,296,0.27587627655171887,0.0,0.7659574468085106
297,59873,297,0.5749454482647499,0.0,0.7349397590361446
298,60122,298,0.199802124672053,0.0,0.8225806451612904
299,60251,299,0.962142535698713,0.0,0.640625
300,60476,300,0.34066157334054226,0.0,0.7236842105263158
301,60645,301,0.6720569103784068,0.0,0.6627906976744186
302,60830,302,0.7524028498266592,0.0,0.5471698113207547
303,61127,303,0.5661555069659687,0.0,0.6611570247933884
304,61304,304,0.3497413543536591,0.0,0.8260869565217391
305,61465,305,0.5847070986494937,0.0,0.7333333333333333
306,61698,306,0.33427356465110714,0.0,0.7934782608695652
307,61891,307,0.42239402580983054,0.0,0.660377358490566
308,62036,308,1.0304500061912953,0.0,0.5441176470588235
309,62189,309,0.7480889469679746,0.0,0.6376811594202898
310,62406,310,0.5632032272055105,0.0,0.5606060606060606
311,62623,311,0.304259865636207,0.0,0.6875
312,62784,312,0.557295706936945,0.0,0.6346153846153846
313,63025,313,0.6487493044262685,0.0,0.6421052631578947
314,63234,314,0.6394180395808664,0.0,0.67
315,63427,315,0.7356793404118873,0.0,0.5897435897435898
316,63644,316,0.42049329524809564,0.0,0.6451612903225806
317,63781,317,0.5411190641759587,0.0,0.64
318,63966,318,0.8013853599380287,0.0,0.5730337078651685
319,64087,319,0.5003433632786697,0.0,0.723404255319149
320,64288,320,0.44956016265614895,0.0,0.6507936507936508
321,64537,321,1.0781324951167306,0.0,0.5645161290322581

